concessionaria;mes_ano;sentido;praca;tipo_de_cobranca;categoria;tipo_de_veiculo;volume_total;multiplicador_de_tarifa;volume_veiculo_equivalente
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 2";"Comercial";55230,00;2,00;110460,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 4";"Comercial";60535,00;3,00;181605,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 6";"Comercial";10176,00;4,00;40704,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 7";"Comercial";30030,00;5,00;150150,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 8";"Comercial";23362,00;6,00;140172,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Outros";"Comercial";7875,00;6,00;47250,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 9";"Moto";17977,00;0,50;8988,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 1";"Passeio";686077,00;1,00;686077,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 3";"Passeio";1252,00;1,50;1878,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Decrescente";"1 Norte (Mairiporã)";"N/I";"Categoria 5";"Passeio";55,00;2,00;110,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 2";"Comercial";58588,00;2,00;117176,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 4";"Comercial";60548,00;3,00;181644,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 6";"Comercial";10663,00;4,00;42652,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 7";"Comercial";30101,00;5,00;150505,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 8";"Comercial";22183,00;6,00;133098,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Outros";"Comercial";6527,00;6,00;39162,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 9";"Moto";18482,00;0,50;9241,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 1";"Passeio";772566,00;1,00;772566,00
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 3";"Passeio";1389,00;1,50;2083,50
"AUTOPISTA FERNÃO DIAS";"01/01/2013";"Crescente";"1 Sul (Mairiporã)";"N/I";"Categoria 5";"Passeio";78,00;2,00;156,00
